date,game_id,away_team,home_team,away_score,home_score,result,spread_result,moneyline_away_decimal,moneyline_home_decimal,away_spread,home_spread,spread_away_decimal,spread_home_decimal
2023-03-30,277520,BAL,BOS,10,9,away_win,away_cover,2.05,1.8,1.5,-1.5,1.5556,2.6
2023-03-30,277521,SF,NYY,0,5,home_win,home_cover,2.45,1.6061,1.5,-1.5,1.625,2.4
2023-03-30,277522,MIL,CHC,0,4,home_win,home_cover,1.7407,2.15,-1.5,1.5,2.3,1.6667
2023-03-30,277523,DET,TB,0,4,home_win,home_cover,2.9,1.4348,1.5,-1.5,1.8696,1.9524
2023-03-30,277524,PHI,TEX,7,11,home_win,home_cover,2.2,1.7143,1.5,-1.5,1.5,2.7
2023-03-30,277525,PIT,CIN,5,4,away_win,away_cover,2.2,1.7143,1.5,-1.5,1.5882,2.5
2023-03-30,277526,TOR,STL,10,9,away_win,home_cover,1.9091,1.9091,-1.5,1.5,2.55,1.5714
2023-03-30,277527,MIN,KC,2,0,away_win,away_cover,1.625,2.4,-1.5,1.5,2.05,1.8
2023-03-30,277528,CHW,HOU,3,2,away_win,away_cover,2.2,1.7143,1.5,-1.5,1.5556,2.6
2023-03-30,277529,LAA,OAK,1,2,home_win,home_cover,1.4762,2.75,-1.5,1.5,1.8333,2
2023-03-30,277530,ARI,LAD,2,8,home_win,home_cover,2.45,1.6061,1.5,-1.5,1.6452,2.35
2023-03-30,277531,CLE,SEA,0,3,home_win,home_cover,2,1.8333,1.5,-1.5,1.4444,2.85
2023-03-30,277532,ATL,WAS,7,2,away_win,away_cover,1.3846,3.15,-1.5,1.5,1.7143,2.2
2023-03-30,277533,COL,SD,7,2,away_win,away_cover,2.8,1.4545,1.5,-1.5,1.8333,2
2023-03-30,277534,NYM,MIA,5,3,away_win,away_cover,1.7692,2.1,-1.5,1.5,2.45,1.6061
2023-03-31,277535,CHW,HOU,3,6,home_win,home_cover,2.35,1.6452,1.5,-1.5,1.6061,2.45
