date,game_id,away_team,home_team,away_score,home_score,result,spread_result,moneyline_away_decimal,moneyline_home_decimal,away_spread,home_spread,spread_away_decimal,spread_home_decimal
2021-04-01,232872,PIT,CHC,5,3,away_win,away_cover,2.8,1.4545,1.5,-1.5,1.8,2.05
2021-04-01,232873,STL,CIN,11,6,away_win,away_cover,2.05,1.8,1.5,-1.5,1.5,2.7
2021-04-01,232874,MIN,MIL,5,6,home_win,away_cover,2,1.8333,1.5,-1.5,1.5,2.7
2021-04-01,232875,SF,SEA,7,8,home_win,away_cover,1.8,2.05,1.5,-1.5,1.5714,2.55
2021-04-01,232877,TEX,KC,10,15,home_win,home_cover,2.4,1.625,1.5,-1.5,1.6897,2.25
2021-04-01,232878,ARI,SD,7,8,home_win,away_cover,3,1.4167,1.5,-1.5,2.05,1.8
2021-04-01,232879,TB,MIA,1,0,away_win,home_cover,1.6452,2.35,-1.5,1.5,2.1,1.7692
2021-04-01,232880,CHW,LAA,3,4,home_win,home_cover,1.8333,2,-1.5,1.5,2.35,1.6452
2021-04-01,232881,ATL,PHI,2,3,home_win,away_cover,2.1,1.7692,1.5,-1.5,1.5,2.7
2021-04-01,232882,HOU,OAK,8,1,away_win,away_cover,1.8696,1.9524,1.5,-1.5,1.6061,2.45
2021-04-01,232883,TOR,NYY,3,2,away_win,away_cover,2.65,1.5405,1.5,-1.5,1.8,2.05
2021-04-01,232884,CLE,DET,2,3,home_win,home_cover,1.5714,2.55,-1.5,1.5,1.8696,1.9524
2021-04-01,232886,LAD,COL,5,8,home_win,home_cover,1.4444,2.85,-1.5,1.5,1.6897,2.25
2021-04-02,232887,TB,MIA,6,4,away_win,away_cover,1.8,2.05,-1.5,1.5,2.35,1.6452
2021-04-02,232888,LAD,COL,11,6,away_win,away_cover,1.3846,3.15,-1.5,1.5,1.6667,2.3
2021-04-02,232889,HOU,OAK,9,5,away_win,away_cover,1.7692,2.1,-1.5,1.5,2.25,1.6897
2021-04-02,232890,ARI,SD,2,4,home_win,home_cover,2.8,1.4545,1.5,-1.5,1.8696,1.9524
2021-04-02,232891,SF,SEA,6,3,away_win,away_cover,1.7692,2.1,-1.5,1.5,2.35,1.6452
2021-04-02,232892,CHW,LAA,12,8,away_win,away_cover,2,1.8333,1.5,-1.5,1.5,2.7
2021-04-02,243833,BAL,BOS,3,0,away_win,away_cover,2.55,1.5714,1.5,-1.5,1.8,2.05
