experiment,setting,model,train_years,train_rows,test_rows,cv_folds,cv_acc_mean,cv_prec_mean,cv_rec_mean,cv_f1_mean,cv_auc_mean,cv_logloss_mean,test_acc,test_prec,test_rec,test_f1,test_auc,test_logloss,tn,fp,fn,tp,bets,profit,roi
spread_baseline,default,lr,<= 2024,9613,2491,5,0.5640449438202249,0.5401994500069799,0.443930141282937,0.482647485034687,0.5853052218125406,0.6857417044074036,0.6049779205138499,0.5819502074688797,0.4912434325744308,0.5327635327635327,0.626108202352654,0.665885703209761,946,403,581,561,1655,-66.04820000000001,-0.03990827794561934
spread_baseline,default,rf,<= 2024,9613,2491,5,0.5654182272159801,0.5374807597239075,0.472292843271361,0.501770489315208,0.5820662659061668,0.6856373719692974,0.5921316740264954,0.5695364238410596,0.45183887915936954,0.50390625,0.6103866261445527,0.6729897039436021,959,390,626,516,1895,-70.54239999999999,-0.03722554089709762
spread_baseline,default,xgb,<= 2024,9613,2491,5,0.5466916354556803,0.5147797606763946,0.44723062234801236,0.47712715389814164,0.5599320179175333,0.7120116270676624,0.592934564431955,0.5712694877505567,0.44921190893169877,0.5029411764705882,0.6006213333090997,0.6805880892837645,964,385,629,513,2017,-100.53549999999998,-0.04984407535944471
spread_training_size,train<= 2021,lr,<= 2021,2388,2491,5,0.5366834170854272,0.5128656636307282,0.5925775440703497,0.5454933995616165,0.5693274275506982,0.7050123432605933,0.5897230028101165,0.5597609561752988,0.4921190893169877,0.5237651444547996,0.6101042609236393,0.6774585793411251,907,442,580,562,2098,-5.744899999999987,-0.0027382745471877918
spread_training_size,train<= 2021,rf,<= 2021,2388,2491,5,0.5587939698492461,0.5389232642951408,0.5283690808629591,0.5290104133185659,0.5759483833896706,0.6910233479496187,0.5913287836210357,0.560077519379845,0.5061295971978984,0.5317387304507819,0.6093149365359825,0.6758102305182501,895,454,564,578,2042,-74.75129999999999,-0.036606904995102836
spread_training_size,train<= 2021,xgb,<= 2021,2388,2491,5,0.5391959798994975,0.5170944923966653,0.49094823467420917,0.49813396329647597,0.5556723560235755,0.7622786978630951,0.5568044961862706,0.5177238805970149,0.4859894921190893,0.5013550135501355,0.5757475538084252,0.7184492408754247,832,517,587,555,2193,-138.74849999999998,-0.0632688098495212
spread_training_size,train<= 2022,lr,<= 2022,4786,2491,5,0.5450439146800502,0.5250473209509644,0.5576114836916133,0.5262701965696402,0.5735747418291844,0.7025455854191407,0.6001605780810919,0.5860849056603774,0.4352014010507881,0.4994974874371859,0.6203602850395765,0.6683422730066714,998,351,645,497,1851,-42.0715,-0.02272906537007023
spread_training_size,train<= 2022,rf,<= 2022,4786,2491,5,0.5606022584692598,0.5363400250905972,0.49141154174512974,0.5120639100724613,0.5815237218385285,0.6870138615475695,0.5849056603773585,0.5576923076923077,0.45709281961471104,0.5024061597690086,0.6062478660329569,0.6755263483886587,935,414,620,522,1928,-118.37200000000001,-0.06139626556016598
spread_training_size,train<= 2022,xgb,<= 2022,4786,2491,5,0.5420326223337516,0.5158241968423918,0.4734316166921885,0.4910820886308055,0.5586016184634526,0.729294614349594,0.5700521878763549,0.5364102564102564,0.45796847635726795,0.49409541804440243,0.5871327142502911,0.6916230509369128,897,452,619,523,2131,-79.71109999999999,-0.03740549038010323
spread_training_size,train<= 2023,lr,<= 2023,7214,2491,5,0.551414309484193,0.5292286486472408,0.4461655094658409,0.4523546670165781,0.5769490688258628,0.7033562583810508,0.6033721397029306,0.5756385068762279,0.5131348511383538,0.5425925925925925,0.6244464667996921,0.6664751811739187,917,432,556,586,1631,-65.3069,-0.04004101778050276
spread_training_size,train<= 2023,rf,<= 2023,7214,2491,5,0.559900166389351,0.5335572090252003,0.502161500674161,0.5141913534286473,0.5766074263241087,0.6905296449871745,0.5893215576073866,0.564185544768069,0.45796847635726795,0.5055582406959884,0.6129785441379032,0.6705644584695554,945,404,619,523,1889,-28.15549999999999,-0.014904976177871884
